gi,gj,clat,clon,n_train,days_since,chao_unseen,n_test,new_species,revisited,scarcity,staleness,priority,density,new_rate,rare_newK,w_newK,w_meanrarity
199,-470,49.875,-117.375,1,3,0.0,4,1,True,1.0,0.06896551724137931,0.5344827586206896,0.0,0.25,,,
199,-468,49.875,-116.875,1,21,0.0,1,1,True,1.0,0.6896551724137931,0.8448275862068966,0.0,1.0,,,
199,-463,49.875,-115.625,2,24,0.0,1,1,True,0.49462365591397844,0.7931034482758621,0.6438635520949203,0.010752688172043012,1.0,,,
200,-506,50.125,-126.375,1,26,0.0,0,0,False,1.0,0.8620689655172413,0.9310344827586207,0.0,,,,
200,-502,50.125,-125.375,2,16,1.0,11,2,True,0.49462365591397844,0.5172413793103449,0.5059325176121616,0.010752688172043012,0.18181818181818182,1.73,0.08636553404502546,0.05055155158402497
200,-501,50.125,-125.125,4,3,0.0,13,3,True,0.24193548387096775,0.06896551724137931,0.15545050055617354,0.03225806451612903,0.23076923076923078,2.24,0.18771898667623607,0.08014224558981609
200,-500,50.125,-124.875,3,3,0.5,9,3,True,0.3261648745519713,0.06896551724137931,0.19756519589667532,0.021505376344086023,0.3333333333333333,2.75,0.2575961648870072,0.09276903226660842
200,-493,50.125,-123.125,1,21,0.0,2,0,True,1.0,0.6896551724137931,0.8448275862068966,0.0,0.0,,,
200,-492,50.125,-122.875,1,9,0.0,3,2,True,1.0,0.27586206896551724,0.6379310344827587,0.0,0.6666666666666666,,,
200,-484,50.125,-120.875,1,21,0.0,2,1,True,1.0,0.6896551724137931,0.8448275862068966,0.0,0.5,,,
200,-483,50.125,-120.625,2,11,1.0,1,1,True,0.49462365591397844,0.3448275862068966,0.41972562106043754,0.010752688172043012,1.0,,,
200,-479,50.125,-119.625,2,12,0.0,1,1,True,0.49462365591397844,0.3793103448275862,0.4369670003707823,0.010752688172043012,1.0,,,
200,-478,50.125,-119.375,9,9,1.5,20,2,True,0.10155316606929508,0.27586206896551724,0.18870761751740617,0.08602150537634409,0.1,1.57,0.23927886037519971,0.14339521737871583
200,-477,50.125,-119.125,2,13,1.0,0,0,False,0.49462365591397844,0.41379310344827586,0.45420837968112715,0.010752688172043012,,,,
200,-472,50.125,-117.875,1,23,0.0,0,0,False,1.0,0.7586206896551724,0.8793103448275862,0.0,,,,
200,-470,50.125,-117.375,1,7,0.0,1,1,True,1.0,0.20689655172413793,0.603448275862069,0.0,1.0,,,
200,-468,50.125,-116.875,2,2,0.0,24,3,True,0.49462365591397844,0.034482758620689655,0.26455320726733406,0.010752688172043012,0.125,1.725,0.10223604913321965,0.05233842552011239
201,-507,50.375,-126.625,1,8,0.0,0,0,False,1.0,0.2413793103448276,0.6206896551724138,0.0,,,,
201,-492,50.375,-122.875,1,12,0.0,6,4,True,1.0,0.3793103448275862,0.6896551724137931,0.0,0.6666666666666666,,,
201,-478,50.375,-119.375,8,1,0.25,18,5,True,0.11559139784946236,0.0,0.05779569892473118,0.07526881720430108,0.2777777777777778,3.725,0.32840729362102183,0.08819118670948428
201,-477,50.375,-119.125,1,16,0.0,5,4,True,1.0,0.5172413793103449,0.7586206896551724,0.0,0.8,,,
201,-476,50.375,-118.875,1,4,0.0,0,0,False,1.0,0.10344827586206896,0.5517241379310345,0.0,,,,
201,-468,50.375,-116.875,1,13,0.0,0,0,False,1.0,0.41379310344827586,0.7068965517241379,0.0,,,,
202,-511,50.625,-127.625,3,18,0.0,1,0,True,0.3261648745519713,0.5862068965517241,0.4561858855518477,0.021505376344086023,0.0,,,
202,-510,50.625,-127.375,1,12,0.0,2,1,True,1.0,0.3793103448275862,0.6896551724137931,0.0,0.5,,,
202,-488,50.625,-121.875,2,3,1.0,4,1,True,0.49462365591397844,0.06896551724137931,0.28179458657767886,0.010752688172043012,0.25,,,
202,-483,50.625,-120.625,3,6,3.0,6,2,True,0.3261648745519713,0.1724137931034483,0.2492893338277098,0.021505376344086023,0.3333333333333333,,,
202,-482,50.625,-120.375,11,3,12.5,19,1,True,0.08113391984359726,0.06896551724137931,0.07504971854248829,0.10752688172043011,0.05263157894736842,0.74,0.12886925522390677,0.12886925522390677
202,-481,50.625,-120.125,2,15,1.0,4,2,True,0.49462365591397844,0.4827586206896552,0.4886911383018168,0.010752688172043012,0.5,,,
202,-479,50.625,-119.625,1,21,0.0,0,0,False,1.0,0.6896551724137931,0.8448275862068966,0.0,,,,
202,-478,50.625,-119.375,1,30,0.0,3,1,True,1.0,1.0,1.0,0.0,0.3333333333333333,,,
202,-477,50.625,-119.125,3,12,0.5,3,2,True,0.3261648745519713,0.3793103448275862,0.35273760968977874,0.021505376344086023,0.6666666666666666,,,
202,-476,50.625,-118.875,1,17,0.0,1,1,True,1.0,0.5517241379310345,0.7758620689655172,0.0,1.0,,,
202,-475,50.625,-118.625,1,12,0.0,0,0,False,1.0,0.3793103448275862,0.6896551724137931,0.0,,,,
202,-465,50.625,-116.125,4,9,0.0,4,2,True,0.24193548387096775,0.27586206896551724,0.2588987764182425,0.03225806451612903,0.5,,,
202,-459,50.625,-114.625,1,1,0.0,0,0,False,1.0,0.0,0.5,0.0,,,,
203,-506,50.875,-126.375,1,12,0.0,0,0,False,1.0,0.3793103448275862,0.6896551724137931,0.0,,,,
203,-489,50.875,-122.125,1,30,0.0,0,0,False,1.0,1.0,1.0,0.0,,,,
203,-487,50.875,-121.625,1,2,0.0,1,0,True,1.0,0.034482758620689655,0.5172413793103449,0.0,0.0,,,
203,-484,50.875,-120.875,1,11,0.0,3,1,True,1.0,0.3448275862068966,0.6724137931034483,0.0,0.3333333333333333,,,
203,-482,50.875,-120.375,10,3,3.0,6,1,True,0.09032258064516129,0.06896551724137931,0.07964404894327029,0.0967741935483871,0.16666666666666666,,,
203,-481,50.875,-120.125,1,29,0.0,6,5,True,1.0,0.9655172413793104,0.9827586206896552,0.0,0.8333333333333334,,,
203,-480,50.875,-119.875,2,24,0.0,5,2,True,0.49462365591397844,0.7931034482758621,0.6438635520949203,0.010752688172043012,0.4,,,
203,-477,50.875,-119.125,1,15,0.0,4,4,True,1.0,0.4827586206896552,0.7413793103448276,0.0,1.0,,,
203,-473,50.875,-118.125,3,25,0.5,3,0,True,0.3261648745519713,0.8275862068965517,0.5768755407242615,0.021505376344086023,0.0,,,
203,-466,50.875,-116.375,4,16,0.0,6,1,True,0.24193548387096775,0.5172413793103449,0.3795884315906563,0.03225806451612903,0.16666666666666666,,,
203,-457,50.875,-114.125,2,12,1.0,4,2,True,0.49462365591397844,0.3793103448275862,0.4369670003707823,0.010752688172043012,0.5,,,
204,-488,51.125,-121.875,1,9,0.0,0,0,False,1.0,0.27586206896551724,0.6379310344827587,0.0,,,,
204,-463,51.125,-115.625,1,27,0.0,7,1,True,1.0,0.896551724137931,0.9482758620689655,0.0,0.14285714285714285,,,
204,-461,51.125,-115.125,1,1,0.0,0,0,False,1.0,0.0,0.5,0.0,,,,
204,-459,51.125,-114.625,1,24,0.0,1,1,True,1.0,0.7931034482758621,0.896551724137931,0.0,1.0,,,
204,-458,51.125,-114.375,1,1,0.0,2,1,True,1.0,0.0,0.5,0.0,0.5,,,
204,-457,51.125,-114.125,12,2,0.0,17,0,True,0.07347670250896056,0.034482758620689655,0.05397973056482511,0.11827956989247312,0.0,0.0,0.0,0.0
205,-485,51.375,-121.125,1,23,0.0,0,0,False,1.0,0.7586206896551724,0.8793103448275862,0.0,,,,
205,-481,51.375,-120.125,1,13,0.0,0,0,False,1.0,0.41379310344827586,0.7068965517241379,0.0,,,,
206,-481,51.625,-120.125,2,24,0.0,10,2,True,0.49462365591397844,0.7931034482758621,0.6438635520949203,0.010752688172043012,0.2,1.77,0.12468360136765344,0.07340934162855395
207,-493,51.875,-123.125,1,4,0.0,0,0,False,1.0,0.10344827586206896,0.5517241379310345,0.0,,,,
208,-489,52.125,-122.125,1,17,0.0,0,0,False,1.0,0.5517241379310345,0.7758620689655172,0.0,,,,
209,-506,52.375,-126.375,1,1,0.0,0,0,False,1.0,0.0,0.5,0.0,,,,
209,-488,52.375,-121.875,1,10,0.0,1,0,True,1.0,0.3103448275862069,0.6551724137931034,0.0,0.0,,,
211,-478,52.875,-119.375,1,27,0.0,1,0,True,1.0,0.896551724137931,0.9482758620689655,0.0,0.0,,,
211,-473,52.875,-118.125,1,9,0.0,0,0,False,1.0,0.27586206896551724,0.6379310344827587,0.0,,,,
213,-457,53.375,-114.125,1,4,0.0,2,0,True,1.0,0.10344827586206896,0.5517241379310345,0.0,0.0,,,
215,-500,53.875,-124.875,1,20,0.0,0,0,False,1.0,0.6551724137931034,0.8275862068965517,0.0,,,,
216,-492,54.125,-122.875,1,2,0.0,1,0,True,1.0,0.034482758620689655,0.5172413793103449,0.0,0.0,,,
217,-515,54.375,-128.625,1,15,0.0,0,0,False,1.0,0.4827586206896552,0.7413793103448276,0.0,,,,
218,-515,54.625,-128.625,2,14,0.0,1,0,True,0.49462365591397844,0.4482758620689655,0.471449758991472,0.010752688172043012,0.0,,,
219,-510,54.875,-127.375,2,1,0.0,0,0,False,0.49462365591397844,0.0,0.24731182795698922,0.010752688172043012,,,,
220,-496,55.125,-123.875,1,26,0.0,0,0,False,1.0,0.8620689655172413,0.9310344827586207,0.0,,,,
224,-484,56.125,-120.875,1,28,0.0,1,1,True,1.0,0.9310344827586207,0.9655172413793103,0.0,1.0,,,
226,-484,56.625,-120.875,1,7,0.0,1,1,True,1.0,0.20689655172413793,0.603448275862069,0.0,1.0,,,
